animal	Heat	trtgrp	time
1	3.86	0	0
1	3.92	0	6
1	3.97	0	13.5
1	3.86	0	21
1	3.91	0	28.5
1	4.05	0	36
1	3.68	0	42
1	2.44	0	49.5
1	3.41	0	57
1	3.24	0	64.5
1	2.76	0	72
1	3.23	0	78
1	2.94	0	85.5
1	4.2	0	93
1	2.68	0	100.5
1	2.5	0	108
1	2.88	0	114
1	3.4	0	121.5
1	2.77	0	129
1	3.13	0	136.5
1	3.29	0	144
1	3.64	0	150
1	3.28	0	157.5
1	2.58	0	165
1	3.09	0	172.5
1	3.04	0	180
1	1.97	0	186
1	2.82	0	193.5
1	2.39	0	201
1	2.35	0	208.5
1	2.67	0	216
1	3.44	0	222
1	2.65	0	229.5
1	3.39	0	237
1	3.56	0	244.5
1	2.92	0	252
1	2.72	0	258
1	2.47	0	265.5
1	3.09	0	273
1	2.51	0	280.5
1	2.99	0	288
1	3	0	294
1	3.39	0	301.5
1	3.26	0	309
1	3.07	0	316.5
1	2.55	0	324
1	2.99	0	330
1	2.73	0	337.5
1	3.36	0	345
1	2.46	0	352.5
1	2.63	0	360
1	2.62	0	366
1	3.14	0	373.5
1	2.91	0	381
1	2.03	0	388.5
1	2.84	0	396
1	2.22	0	402
1	2.81	0	409.5
1	2.66	0	417
1	2.34	0	424.5
1	2.34	0	432
1	3.03	0	438
1	2.88	0	445.5
1	2.29	0	453
1	2.79	0	460.5
1	2.43	0	468
1	2.43	0	474
1	2.86	0	481.5
1	2.85	0	489
1	2.61	0	496.5
1	2.62	0	504
1	2.3	0	510
1	2.28	0	517.5
1	2.2	0	525
1	2.2	0	532.5
1	2.26	0	540
1	2.15	0	546
1	2.59	0	553.5
1	2.26	0	561
1	2.3	0	568.5
1	2.85	0	576
1	3.07	0	582
1	2.59	0	589.5
1	2.47	0	597
1	2.35	0	604.5
1	2.49	0	612
1	2.27	0	618
1	2.48	0	625.5
1	3.06	0	633
1	3.18	0	640.5
1	2.41	0	648
1	2.5	0	654
1	2.12	0	661.5
1	2.94	0	669
1	3.07	0	676.5
1	2.31	0	684
1	2.82	0	690
1	2.87	0	697.5
1	3.17	0	705
1	2.57	0	712.5
1	2.21	0	720
1	2.57	0	726
1	2.08	0	733.5
1	2.33	0	741
1	2.14	0	748.5
1	2.17	0	756
1	2.38	0	762
1	2.93	0	769.5
1	4.28	0	777
1	2.09	0	784.5
1	3.01	0	792
1	3.49	0	798
1	3.71	0	805.5
1	2.68	0	813
1	2.26	0	820.5
1	2.14	0	828
1	2.46	0	834
1	2.09	0	841.5
1	2.64	0	849
1	2.33	0	856.5
1	2.13	0	864
1	2.17	0	870
1	1.85	0	877.5
1	1.92	0	885
1	2	0	892.5
1	2.11	0	900
1	2.16	0	906
1	1.92	0	913.5
1	2.11	0	921
1	2.08	0	928.5
1	1.82	0	936
1	2.09	0	942
1	2.07	0	949.5
1	1.8	0	957
1	1.99	0	964.5
1	1.8	0	972
1	1.93	0	978
1	2.01	0	985.5
1	2.07	0	993
1	1.93	0	1000.5
1	1.95	0	1008
1	2.13	0	1014
1	2.44	0	1021.5
1	2.47	0	1029
1	2.85	0	1036.5
1	3.22	0	1044
1	2.47	0	1050
1	2.19	0	1057.5
1	2.74	0	1065
1	1.8	0	1072.5
1	2.16	0	1080
1	2.65	0	1086
1	2.26	0	1093.5
1	2.27	0	1101
1	1.72	0	1108.5
1	2.14	0	1116
1	2.12	0	1122
1	3.02	0	1129.5
1	2.47	0	1137
1	3.11	0	1144.5
1	3.15	0	1152
1	2.55	0	1158
1	2.32	0	1165.5
1	2.26	0	1173
1	2.49	0	1180.5
1	2.04	0	1188
1	2.27	0	1194
1	2.62	0	1201.5
1	2.91	0	1209
1	2.71	0	1216.5
1	2.91	0	1224
1	3.19	0	1230
1	2.87	0	1237.5
1	2.79	0	1245
1	2.57	0	1252.5
1	2.38	0	1260
1	2.45	0	1266
1	2.31	0	1273.5
1	2.4	0	1281
1	2.41	0	1288.5
1	2.63	0	1296
1	3.17	0	1302
1	3.03	0	1309.5
1	2.69	0	1317
1	2.37	0	1324.5
1	2.52	0	1332
1	3.11	0	1338
1	4.01	0	1345.5
1	3.11	0	1353
1	2.62	0	1360.5
1	2.37	0	1368
1	2.99	0	1374
1	2.82	0	1381.5
1	2.43	0	1389
1	2.34	0	1396.5
1	2.19	0	1404
1	2.54	0	1410
2	3.74	0	0
2	3.68	0	7.5
2	3.67	0	13.5
2	3.85	0	21
2	3	0	28.5
2	3.35	0	36
2	2.69	0	43.5
2	2.82	0	49.5
2	2.12	0	57
2	2.39	0	64.5
2	2.56	0	72
2	2.69	0	79.5
2	2.66	0	85.5
2	3.2	0	93
2	2.88	0	100.5
2	2.21	0	108
2	2.57	0	115.5
2	2.97	0	121.5
2	2.47	0	129
2	2.57	0	136.5
2	2.75	0	144
2	2.83	0	151.5
2	2.54	0	157.5
2	2.42	0	165
2	3.18	0	172.5
2	2.46	0	180
2	3.54	0	187.5
2	3.17	0	193.5
2	2.99	0	201
2	3.32	0	208.5
